,Netflix,IMDb,Title
0,1,8.8,Inception
2,1,8.5,Avengers: Infinity War
5,1,8.4,Spider-Man: Into the Spider-Verse
7,1,8.4,Django Unchained
13,1,8.1,Room
18,1,8.0,The King's Speech
19,1,8.0,Her
21,1,7.7,The Social Network
22,1,8.0,Dallas Buyers Club
23,1,8.0,The Perks of Being a Wallflower
25,1,7.7,Ex Machina
26,1,7.7,Silver Linings Playbook
31,1,7.8,Drive
32,1,7.5,Train to Busan
33,1,7.6,Incredibles 2
34,1,8.4,Dangal
40,1,7.6,Despicable Me
41,1,7.6,Hell or High Water
45,1,7.7,The Theory of Everything
47,1,8.5,Senna
48,1,7.5,Scott Pilgrim vs. the World
50,1,7.8,The Hateful Eight
51,1,7.9,The Artist
52,1,7.4,Moonlight
57,1,8.2,A Silent Voice
58,1,7.1,Snowpiercer
59,1,7.5,Hugo
60,1,7.1,Ant-Man and the Wasp
63,1,8.2,Searching for Sugar Man
66,1,7.4,Molly's Game
67,1,8.1,Blackfish
69,1,8.1,The Invisible Guest
70,1,8.1,Song of the Sea
71,1,7.6,End of Watch
73,1,7.8,About Time
75,1,7.7,Blue Is the Warmest Color
78,1,7.4,Mud
79,1,7.3,The Edge of Seventeen
82,1,7.5,Tucker and Dale vs. Evil
86,1,7.6,The Florida Project
87,1,8.2,13th
88,1,8.1,Bahubali: The Beginning
89,1,8.1,The Dawn Wall
93,1,7.3,Okja
94,1,7.7,Roma
95,1,7.5,Saving Mr. Banks
96,1,7.9,Icarus
97,1,7.9,Jiro Dreams of Sushi
100,1,7.2,The Death of Stalin
103,1,7.8,Amy
104,1,7.1,Ralph Breaks the Internet
105,1,7.4,Good Time
106,1,7.5,Ip Man 2
107,1,7.7,The Little Prince
108,1,7.1,The Spectacular Now
109,1,8.2,Baahubali 2: The Conclusion
110,1,7.2,Black Mirror: Bandersnatch
111,1,8.1,PK
113,1,7.2,The Lobster
114,1,7.4,Blue Valentine
115,1,8.1,Zindagi Na Milegi Dobara
116,1,7.0,Green Room
117,1,7.2,Kung Fu Panda 2
118,1,7.3,The Ballad of Buster Scruggs
120,1,7.5,Burning
121,1,7.3,The Adventures of Tintin
126,1,7.6,Bad Genius
131,1,7.8,My Life as a Zucchini
132,1,7.7,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton"
133,1,8.1,Barfi!
134,1,7.5,Frances Ha
136,1,6.9,Solo: A Star Wars Story
137,1,7.2,Steve Jobs
139,1,7.2,The Croods
140,1,7.1,Locke
141,1,8.4,Bill Burr: I'm Sorry You Feel That Way
142,1,7.4,Starred Up
143,1,7.4,Mudbound
145,1,7.1,Blue Ruin
148,1,8.1,The Square
149,1,6.6,Gerald's Game
152,1,7.1,Tinker Tailor Soldier Spy
153,1,6.9,The Witch
154,1,8.1,Haider
155,1,7.9,Padman
156,1,6.6,Hush
159,1,7.3,Christopher Robin
163,1,6.8,The Autopsy of Jane Doe
164,1,8.2,Virunga
166,1,7.2,The Master
169,1,7.7,The Breadwinner
172,1,7.0,The Killing of a Sacred Deer
173,1,7.3,Lawless
177,1,8.2,Hannah Gadsby: Nanette
181,1,7.1,Arthur Christmas
183,1,8.4,Winter on Fire: Ukraine's Fight for Freedom
186,1,7.2,War Horse
187,1,7.3,Shot Caller
188,1,6.6,The Invitation
189,1,7.0,A Most Violent Year
190,1,6.6,The Other Guys
191,1,7.7,Kapoor & Sons
192,1,7.6,On Body and Soul
193,1,7.3,The Fundamentals of Caring
194,1,6.8,Insidious
197,1,7.0,The Foreigner
198,1,7.1,The Danish Girl
199,1,6.6,The Girl with All the Gifts
200,1,6.6,Bird Box
202,1,7.2,Hostiles
203,1,8.3,Sairat
204,1,7.5,Trumbo
205,1,8.2,LA 92
206,1,7.3,20th Century Women
208,1,7.0,Swiss Army Man
209,1,7.8,In This Corner of the World
210,1,6.9,A Ghost Story
215,1,7.1,The Young Offenders
216,1,6.9,Enemy
217,1,7.4,Mirage
220,1,7.4,The Guernsey Literary & Potato Peel Pie Society
221,1,6.9,I Don't Feel at Home in This World Anymore
222,1,6.5,The Endless
225,1,6.9,Under the Shadow
227,1,7.2,Kon-Tiki
228,1,6.7,Mary Poppins Returns
229,1,7.1,Kajaki
230,1,7.7,The Fear of 13
231,1,7.0,The Night Comes for Us
232,1,6.4,Blood Father
233,1,7.6,Stree
236,1,6.4,Salt
237,1,7.3,The Hundred-Foot Journey
238,1,7.5,The Distinguished Citizen
240,1,8.1,Chasing Coral
241,1,7.3,The End of the Tour
242,1,7.1,The One I Love
247,1,6.9,What Happened to Monday
249,1,7.5,The White Helmets
250,1,7.4,Suburra
254,1,6.4,Get Him to the Greek
255,1,6.9,Slow West
256,1,6.9,The Meyerowitz Stories (New and Selected)
257,1,8.0,The Battered Bastards of Baseball
258,1,6.1,The Perfection
259,1,7.1,Ip Man 3
260,1,6.8,Sinister
261,1,8.4,Rush: Beyond the Lighted Stage
262,1,7.4,20 Feet from Stardom
263,1,6.9,The Stanford Prison Experiment
264,1,7.0,My Week with Marilyn
265,1,7.1,Catfish
266,1,7.9,Secret Superstar
267,1,7.2,Private Life
270,1,7.6,For the Love of Spock
271,1,6.8,Goon
273,1,8.0,Inequality for All
274,1,6.5,Olympus Has Fallen
276,1,7.9,John Mulaney: Kid Gorgeous at Radio City
279,1,7.9,Supersonic
282,1,6.3,Under the Skin
285,1,7.6,Hey Arnold! The Jungle Movie
290,1,7.7,Undefeated
291,1,7.3,Team Foxcatcher
293,1,7.3,April and the Extraordinary World
295,1,6.9,Legend
296,1,7.6,Boy & the World
297,1,6.4,Creep 2
299,1,7.7,Unrest
301,1,7.6,Louis C.K. 2017
302,1,7.6,A Twelve-Year Night
