,Hulu,IMDb,Title
67,1,8.1,Blackfish
97,1,7.9,Jiro Dreams of Sushi
148,1,8.1,The Square
285,1,7.6,Hey Arnold! The Jungle Movie
340,1,6.5,The Interview
497,1,6.7,Blame!
894,1,6.4,The Oath
939,1,6.2,Lost in London
1035,1,5.4,Gemini
1133,1,7.5,No Game No Life: Zero
1325,1,7.1,A Second Chance
1663,1,6.5,Big Time Movie
1776,1,5.1,Zapped
2017,1,5.6,Mother
2347,1,5.3,Escape from Mr. Lemoncello's Library
2874,1,4.0,A Fairly Odd Summer
3040,1,5.5,LeapFrog: Phonics Farm
3146,1,5.8,LeapFrog: Numberland
3569,1,7.5,A Quiet Place
3572,1,7.6,True Grit
3574,1,7.6,50/50
3575,1,7.9,Hunt for the Wilderpeople
3579,1,7.5,The Conjuring
3580,1,8.2,Free Solo
3581,1,7.9,Captain Fantastic
3582,1,7.5,"I, Tonya"
3584,1,8.0,Shoplifters
3586,1,7.0,The Cabin in the Woods
3592,1,7.0,Super 8
3593,1,7.7,Mission: Impossible - Fallout
3594,1,7.2,Coherence
3595,1,6.9,Annihilation
3598,1,7.5,The Guilty
3600,1,6.8,Bumblebee
3601,1,7.2,Rango
3602,1,7.3,Instant Family
3603,1,7.6,13 Assassins
3606,1,7.5,We Need to Talk About Kevin
3607,1,7.1,Let Me In
3608,1,7.7,Three Identical Strangers
3609,1,6.8,A Simple Favor
3610,1,7.1,Creed II
3611,1,7.8,Loving Vincent
3612,1,7.2,Megamind
3617,1,7.6,Hotel Mumbai
3623,1,7.9,Embrace of the Serpent
3624,1,7.2,Melancholia
3626,1,7.8,The Second Mother
3629,1,7.4,Love & Mercy
3630,1,7.8,A Taxi Driver
3632,1,7.6,Tickled
3633,1,6.9,Sorry to Bother You
3634,1,7.3,The Way Back
3635,1,7.3,Detroit
3638,1,7.3,Lucky
3639,1,7.0,Border
3641,1,7.1,If Beale Street Could Talk
3644,1,7.8,The Beatles: Eight Days a Week - The Touring Years
3647,1,7.3,Force Majeure
3649,1,7.0,Thelma
3650,1,7.0,The Sisters Brothers
3651,1,7.1,Tangerine
3654,1,7.4,BPM (Beats per Minute)
3657,1,7.2,Vice
3658,1,6.9,The Book of Eli
3659,1,7.4,The 12th Man
3661,1,7.4,Cartel Land
3662,1,7.1,Professor Marston and the Wonder Women
3663,1,7.1,A Brilliant Young Mind
3665,1,7.4,The Next Three Days
3666,1,7.1,Megan Leavey
3668,1,7.5,RBG
3674,1,7.5,"Waiting for ""Superman"""
3675,1,6.8,The Skeleton Twins
3676,1,7.3,I Can Only Imagine
3677,1,7.4,Woman at War
3679,1,7.8,Jane
3682,1,6.6,Ingrid Goes West
3683,1,7.2,Dogman
3684,1,7.2,Anthropoid
3688,1,6.6,"Juliet, Naked"
3689,1,7.1,The Absent One
3692,1,7.5,"Life, Animated"
3694,1,6.7,Killer Joe
3695,1,7.4,Sword Art Online: The Movie - Ordinal Scale
3696,1,6.7,The Wave
3697,1,6.2,Colossal
3699,1,6.5,Oculus
3701,1,6.9,Borg vs McEnroe
3702,1,6.7,Denial
3703,1,7.6,Best of Enemies
3704,1,6.2,Prospect
3705,1,6.6,Arbitrage
3707,1,7.9,Active Measures
3708,1,7.5,Amazing Grace
3710,1,6.5,The Clovehitch Killer
3711,1,6.7,Rare Exports: A Christmas Tale
3712,1,7.2,Venus in Fur
3713,1,7.0,Jackass 3D
3714,1,6.2,I Kill Giants
3715,1,7.1,The Queen of Versailles
3718,1,6.7,The Villainess
3719,1,6.4,Europa Report
3721,1,7.1,In the Fade
3723,1,6.9,Christine
3724,1,6.9,Hearts Beat Loud
3725,1,7.3,Whitney
3727,1,6.5,Hounds of Love
3728,1,7.0,Pawn Sacrifice
3729,1,6.2,Transformers: Dark of the Moon
3730,1,6.7,Ben Is Back
3732,1,6.2,No Strings Attached
3733,1,7.3,Along with the Gods: The Two Worlds
3734,1,6.7,Young & Beautiful
