,Prime Video,IMDb,Title
31,1,7.8,Drive
32,1,7.5,Train to Busan
103,1,7.8,Amy
142,1,7.4,Starred Up
148,1,8.1,The Square
188,1,6.6,The Invitation
193,1,7.3,The Fundamentals of Caring
204,1,7.5,Trumbo
217,1,7.4,Mirage
227,1,7.2,Kon-Tiki
305,1,7.3,Blue Jay
322,1,7.1,The Christmas Chronicles
327,1,7.5,Remember
340,1,6.5,The Interview
345,1,6.3,Cargo
368,1,7.2,Girl
376,1,7.2,"Love, Rosie"
384,1,6.3,The Babysitter
401,1,6.4,She's Out of My League
405,1,7.2,Ittefaq
418,1,6.6,Retribution
447,1,6.2,Young Adult
471,1,7.0,One Day
484,1,7.6,Elena
497,1,6.7,Blame!
536,1,8.0,I Am Kalam
576,1,6.6,The Angel
585,1,6.7,Breath
652,1,6.6,(T)ERROR
679,1,6.5,From Paris with Love
696,1,5.4,The Monster
701,1,5.6,Mirror Mirror
723,1,6.7,Ten Years
789,1,8.0,Mike Birbiglia: My Girlfriend's Boyfriend
813,1,6.3,Lovesong
816,1,5.7,A Christmas Prince
890,1,7.3,City of Joy
914,1,5.7,The Debt Collector
945,1,6.2,Kabali
967,1,6.6,Pari
968,1,5.6,Sleepless
970,1,6.2,Detour
980,1,7.7,The Bleeding Edge
1009,1,5.9,Toro
1038,1,6.9,The Student
1047,1,4.7,God's Not Dead
1050,1,5.5,Zero
1054,1,6.3,The Outsider
1062,1,7.3,Four Sisters And A Wedding
1089,1,7.6,Room on the Broom
1113,1,6.2,Closed Circuit
1133,1,7.5,No Game No Life: Zero
1143,1,5.7,The Do-Over
1177,1,5.4,Mute
1234,1,6.7,Iliza Shlesinger: War Paint
1272,1,5.8,Patrick
1291,1,6.2,Aarakshan
1300,1,6.6,Pandora
1333,1,7.5,Jeff Dunham: Controlled Chaos
1342,1,7.5,U Turn
1344,1,5.8,The After Party
1369,1,7.4,Dream/Killer
1379,1,6.9,The Climb
1408,1,5.3,Friend Request
1412,1,6.6,Blind Date
1414,1,5.8,The Duel
1417,1,7.8,Tom Segura: Completely Normal
1420,1,5.2,Hangman
1423,1,5.8,Lila & Eve
1430,1,5.9,The Warning
1458,1,8.7,Untamed Romania
1459,1,6.8,Sarkar
1467,1,5.1,Across the Line
1471,1,6.7,Giant
1497,1,5.9,Rainbow Time
1514,1,5.7,Delirium
1529,1,7.1,Solo
1590,1,6.0,The Wedding Party
1619,1,5.4,Lavender
1622,1,5.7,After Porn Ends
1716,1,4.7,Ready
1717,1,6.3,ABCD
1729,1,7.4,Marc Maron: Thinky Pain
1758,1,7.1,End Game
1762,1,4.7,Eerie
1805,1,7.6,Pa Paandi
1821,1,7.1,Jeff Dunham: Minding the Monsters
1829,1,7.1,Jeff Dunham: All Over the Map
1833,1,6.0,93 Days
1840,1,8.5,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall
1888,1,7.2,Ho Mann Jahaan
1893,1,6.7,Wrong No.
1908,1,6.3,The Mistress
1943,1,6.1,In the Shadow of Iris
1967,1,7.5,Taramani
1976,1,5.7,Kis Kisko Pyaar Karoon
1986,1,6.6,Puriyaatha Puthir
2010,1,6.4,Ferrari Ki Sawaari
2017,1,5.6,Mother
2030,1,4.4,Blood Money
2097,1,6.2,Pizza
2115,1,6.3,Whitney Cummings: Money Shot
2149,1,6.0,6-5=2
2201,1,5.5,Nothing to Lose
2227,1,6.1,Line Walker
2296,1,4.3,The Recall
2305,1,6.5,Naan Sigappu Manithan
2308,1,5.0,Truth or Dare
2324,1,5.6,Lionheart
2337,1,5.6,Vodka Diaries
2387,1,7.9,Unchained: The Untold Story of Freestyle Motocross
2393,1,7.1,Colin Quinn: Unconstitutional
2396,1,5.9,Hide and Seek
2404,1,6.7,Bhouri
2476,1,3.6,Temple
2489,1,5.0,Animales sin collar
2514,1,6.3,My Way: The Rise and Fall of Silvio Berlusconi
2524,1,6.1,Zubaan
