,Disney+,Rotten Tomatoes,Title
95,1,79%,Saving Mr. Banks
103,1,95%,Amy
482,1,88%,White Fang
1761,1,20%,The Little Mermaid
3580,1,97%,Free Solo
3679,1,98%,Jane
4313,1,25%,Inside Out
4438,1,92%,The Avengers
4454,1,77%,Thor
4455,1,80%,Captain America: The First Avenger
4462,1,73%,Iron Man 2
16219,1,91%,Guardians of the Galaxy
16221,1,97%,Coco
16222,1,98%,Toy Story 3
16225,1,98%,Zootopia
16226,1,93%,Star Wars: The Force Awakens
16227,1,91%,Captain America: Civil War
16228,1,93%,Thor: Ragnarok
16231,1,90%,Captain America: The Winter Soldier
16237,1,89%,Big Hero 6
16238,1,89%,Doctor Strange
16239,1,85%,Guardians of the Galaxy Vol. 2
16240,1,84%,Rogue One: A Star Wars Story
16242,1,95%,Moana
16243,1,90%,Frozen
16245,1,97%,Black Panther
16246,1,89%,Tangled
16247,1,87%,Wreck-It Ralph
16248,1,83%,Ant-Man
16250,1,75%,Avengers: Age of Ultron
16252,1,94%,Finding Dory
16255,1,79%,Iron Man 3
16260,1,80%,Monsters University
16266,1,78%,Brave
16274,1,66%,Thor: The Dark World
16275,1,90%,Star Wars: The Last Jedi
16297,1,88%,Pete's Dragon
16298,1,76%,The Good Dinosaur
16299,1,87%,Frankenweenie
16301,1,91%,Winnie the Pooh
16302,1,51%,TRON: Legacy
16305,1,70%,Cars 3
16306,1,93%,Queen of Katwe
16309,1,74%,Before the Flood
16323,1,52%,John Carter
16326,1,90%,Descendants
16329,1,100%,Phineas and Ferb the Movie: Across the 2nd Dimension
16330,1,33%,Pirates of the Caribbean: On Stranger Tides
16331,1,75%,The BFG
16334,1,64%,The Finest Hours
16344,1,63%,Secretariat
16352,1,86%,Teen Beach Movie
16359,1,80%,Muppets Most Wanted
16361,1,60%,Secret of the Wings
16362,1,39%,Cars 2
16363,1,78%,Tinker Bell and the Great Fairy Rescue
16364,1,67%,Descendants 2
16365,1,100%,Adventures in Babysitting
16370,1,93%,Monkey Kingdom
16374,1,73%,African Cats
16383,1,76%,Chimpanzee
16391,1,97%,Science Fair
16393,1,53%,Diary of a Wimpy Kid
16394,1,35%,The Odd Life of Timothy Green
16405,1,21%,The Last Song
16422,1,40%,Red Tails
16427,1,63%,Camp Rock 2: The Final Jam
16439,1,57%,Olaf's Frozen Adventure
16476,1,42%,A Wrinkle in Time
16480,1,100%,Marvel Rising: Secret Warriors
16481,1,37%,Mars Needs Moms
16482,1,60%,Sharpay's Fabulous Adventure
16515,1,36%,Prom
16611,1,40%,Life-Size 2
