,Hulu,Rotten Tomatoes,Title
67,1,98%,Blackfish
97,1,99%,Jiro Dreams of Sushi
148,1,100%,The Square
285,1,100%,Hey Arnold! The Jungle Movie
340,1,52%,The Interview
497,1,82%,Blame!
894,1,75%,The Oath
939,1,75%,Lost in London
1035,1,71%,Gemini
3569,1,95%,A Quiet Place
3572,1,96%,True Grit
3574,1,93%,50/50
3575,1,96%,Hunt for the Wilderpeople
3579,1,85%,The Conjuring
3580,1,97%,Free Solo
3581,1,82%,Captain Fantastic
3582,1,89%,"I, Tonya"
3584,1,99%,Shoplifters
3586,1,92%,The Cabin in the Woods
3592,1,81%,Super 8
3593,1,97%,Mission: Impossible - Fallout
3594,1,88%,Coherence
3595,1,88%,Annihilation
3598,1,97%,The Guilty
3600,1,91%,Bumblebee
3601,1,88%,Rango
3602,1,81%,Instant Family
3603,1,95%,13 Assassins
3606,1,75%,We Need to Talk About Kevin
3607,1,88%,Let Me In
3608,1,97%,Three Identical Strangers
3609,1,85%,A Simple Favor
3610,1,84%,Creed II
3611,1,85%,Loving Vincent
3612,1,72%,Megamind
3617,1,76%,Hotel Mumbai
3623,1,96%,Embrace of the Serpent
3624,1,80%,Melancholia
3626,1,97%,The Second Mother
3629,1,90%,Love & Mercy
3630,1,96%,A Taxi Driver
3632,1,94%,Tickled
3633,1,93%,Sorry to Bother You
3634,1,74%,The Way Back
3635,1,83%,Detroit
3638,1,97%,Lucky
3639,1,97%,Border
3641,1,95%,If Beale Street Could Talk
3644,1,96%,The Beatles: Eight Days a Week - The Touring Years
3647,1,94%,Force Majeure
3649,1,93%,Thelma
3650,1,87%,The Sisters Brothers
3651,1,96%,Tangerine
3654,1,98%,BPM (Beats per Minute)
3657,1,66%,Vice
3658,1,47%,The Book of Eli
3659,1,86%,The 12th Man
3661,1,90%,Cartel Land
3662,1,86%,Professor Marston and the Wonder Women
3663,1,87%,A Brilliant Young Mind
3665,1,51%,The Next Three Days
3666,1,87%,Megan Leavey
3668,1,94%,RBG
3674,1,90%,"Waiting for ""Superman"""
3675,1,87%,The Skeleton Twins
3676,1,61%,I Can Only Imagine
3677,1,97%,Woman at War
3679,1,98%,Jane
3682,1,86%,Ingrid Goes West
3683,1,83%,Dogman
3684,1,66%,Anthropoid
3688,1,83%,"Juliet, Naked"
3689,1,92%,The Absent One
3692,1,94%,"Life, Animated"
3694,1,79%,Killer Joe
3695,1,100%,Sword Art Online: The Movie - Ordinal Scale
3696,1,83%,The Wave
3697,1,81%,Colossal
3699,1,75%,Oculus
3701,1,84%,Borg vs McEnroe
3702,1,82%,Denial
3703,1,93%,Best of Enemies
3704,1,89%,Prospect
3705,1,88%,Arbitrage
3707,1,80%,Active Measures
3708,1,99%,Amazing Grace
3710,1,78%,The Clovehitch Killer
3711,1,89%,Rare Exports: A Christmas Tale
