,Netflix,Rotten Tomatoes,Title
0,1,87%,Inception
2,1,84%,Avengers: Infinity War
5,1,97%,Spider-Man: Into the Spider-Verse
7,1,87%,Django Unchained
13,1,93%,Room
18,1,95%,The King's Speech
19,1,95%,Her
21,1,96%,The Social Network
22,1,93%,Dallas Buyers Club
23,1,86%,The Perks of Being a Wallflower
25,1,92%,Ex Machina
26,1,92%,Silver Linings Playbook
31,1,92%,Drive
32,1,94%,Train to Busan
33,1,94%,Incredibles 2
34,1,88%,Dangal
40,1,81%,Despicable Me
41,1,97%,Hell or High Water
45,1,79%,The Theory of Everything
47,1,93%,Senna
48,1,81%,Scott Pilgrim vs. the World
50,1,75%,The Hateful Eight
51,1,95%,The Artist
52,1,98%,Moonlight
57,1,94%,A Silent Voice
58,1,94%,Snowpiercer
59,1,93%,Hugo
60,1,88%,Ant-Man and the Wasp
63,1,95%,Searching for Sugar Man
66,1,82%,Molly's Game
67,1,98%,Blackfish
69,1,67%,The Invisible Guest
70,1,99%,Song of the Sea
71,1,85%,End of Watch
73,1,68%,About Time
75,1,89%,Blue Is the Warmest Color
78,1,97%,Mud
79,1,94%,The Edge of Seventeen
82,1,85%,Tucker and Dale vs. Evil
86,1,96%,The Florida Project
87,1,96%,13th
88,1,88%,Bahubali: The Beginning
89,1,100%,The Dawn Wall
93,1,87%,Okja
94,1,96%,Roma
95,1,79%,Saving Mr. Banks
96,1,93%,Icarus
97,1,99%,Jiro Dreams of Sushi
100,1,96%,The Death of Stalin
103,1,95%,Amy
104,1,88%,Ralph Breaks the Internet
105,1,92%,Good Time
106,1,96%,Ip Man 2
107,1,93%,The Little Prince
108,1,91%,The Spectacular Now
109,1,89%,Baahubali 2: The Conclusion
110,1,92%,Black Mirror: Bandersnatch
111,1,76%,PK
113,1,87%,The Lobster
114,1,87%,Blue Valentine
115,1,91%,Zindagi Na Milegi Dobara
116,1,91%,Green Room
117,1,81%,Kung Fu Panda 2
118,1,91%,The Ballad of Buster Scruggs
120,1,95%,Burning
121,1,74%,The Adventures of Tintin
126,1,100%,Bad Genius
131,1,99%,My Life as a Zucchini
132,1,94%,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton"
133,1,86%,Barfi!
134,1,92%,Frances Ha
136,1,70%,Solo: A Star Wars Story
137,1,85%,Steve Jobs
139,1,71%,The Croods
140,1,91%,Locke
141,1,100%,Bill Burr: I'm Sorry You Feel That Way
142,1,99%,Starred Up
143,1,97%,Mudbound
145,1,96%,Blue Ruin
148,1,100%,The Square
149,1,90%,Gerald's Game
152,1,83%,Tinker Tailor Soldier Spy
153,1,90%,The Witch
